epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,49246.8,1.09708,0.84062,1.53917,0.76665,0.835,0.83372,0.52291,1.3526,0.66935,2.04045,0.000462065,0.000462065,0.000462065
61,50067.7,1.10482,0.84273,1.54358,0.74173,0.87442,0.84497,0.52834,1.35199,0.67829,2.05305,0.000451066,0.000451066,0.000451066
62,50887.2,1.08411,0.82187,1.53074,0.75885,0.82277,0.82449,0.51099,1.37501,0.69396,2.05575,0.000440067,0.000440067,0.000440067
63,51706.9,1.09152,0.8289,1.53617,0.80159,0.84745,0.86188,0.52917,1.37957,0.64986,2.05852,0.000429068,0.000429068,0.000429068
64,52533.8,1.07835,0.83019,1.52585,0.76606,0.86085,0.84494,0.52486,1.37554,0.65752,2.04064,0.000418069,0.000418069,0.000418069
65,53362.3,1.07807,0.81734,1.52144,0.74947,0.83848,0.81481,0.50941,1.33665,0.69787,2.02333,0.00040707,0.00040707,0.00040707
66,54194.3,1.07701,0.80704,1.52526,0.70674,0.89545,0.82812,0.51306,1.36151,0.68434,2.03878,0.000396071,0.000396071,0.000396071
67,55015.8,1.08008,0.8159,1.52803,0.731,0.86198,0.82869,0.52242,1.35092,0.65638,2.02097,0.000385073,0.000385073,0.000385073
68,55838.4,1.08286,0.81332,1.52287,0.74518,0.82729,0.82473,0.51451,1.35664,0.67323,2.03945,0.000374074,0.000374074,0.000374074
69,56658.4,1.05917,0.81453,1.51066,0.78349,0.83033,0.84023,0.52261,1.34672,0.65149,2.02805,0.000363075,0.000363075,0.000363075
70,57474.6,1.08263,0.79766,1.52897,0.73263,0.87757,0.84326,0.52001,1.37441,0.65254,2.04798,0.000352076,0.000352076,0.000352076
71,58667.6,1.07249,0.78465,1.52642,0.78799,0.79806,0.83968,0.52185,1.35622,0.6654,2.0461,0.000341077,0.000341077,0.000341077
72,60067.8,1.06597,0.7926,1.51115,0.79154,0.79259,0.83282,0.52001,1.32984,0.66996,2.01235,0.000330078,0.000330078,0.000330078
73,61317.4,1.07032,0.79197,1.52064,0.78089,0.83982,0.84178,0.52387,1.35304,0.67398,2.03861,0.000319079,0.000319079,0.000319079
74,62774.9,1.06501,0.7985,1.51475,0.79135,0.85022,0.85684,0.53449,1.34568,0.6575,2.03266,0.00030808,0.00030808,0.00030808
75,63900.3,1.05337,0.78093,1.507,0.76214,0.84712,0.84452,0.52268,1.36364,0.66787,2.04608,0.000297081,0.000297081,0.000297081
